artist_name,track_name,genres,followers,popularity,duration,release_date,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Taylor Swift,Anti-Hero,['pop'],71002649,94,200.69,2022-10-21,0.637,0.643,0.0519,0.13,1.8e-06,0.142,0.533,97.008,pop
Taylor Swift,All Of The Girls You Loved Before,['pop'],71002649,89,221.407,2019-08-23,0.718,0.467,0.0398,0.707,6.92e-05,0.126,0.396,95.96,pop
Taylor Swift,Lavender Haze,['pop'],71002649,88,202.395,2022-10-21,0.733,0.436,0.08,0.258,0.000573,0.157,0.0976,96.985,pop
Taylor Swift,Blank Space,['pop'],71002649,78,231.826,2014-10-27,0.753,0.678,0.0644,0.085,1.64e-06,0.13,0.583,96.006,pop
Taylor Swift,Don’t Blame Me,['pop'],71002649,87,236.413,2017-11-10,0.615,0.534,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,pop
Taylor Swift,cardigan,['pop'],71002649,86,239.56,2020-07-24,0.613,0.581,0.0424,0.537,0.000345,0.25,0.551,130.033,pop
Taylor Swift,Style,['pop'],71002649,77,231.0,2014-10-27,0.598,0.786,0.0383,0.00253,0.0016,0.117,0.456,95.019,pop
Taylor Swift,Midnight Rain,['pop'],71002649,85,174.782,2022-10-21,0.643,0.363,0.0767,0.69,5.17e-05,0.115,0.23,139.865,pop
Taylor Swift,Cruel Summer,['pop'],71002649,86,178.426,2019-08-23,0.552,0.702,0.157,0.117,2.06e-05,0.105,0.564,169.994,pop
Taylor Swift,Enchanted,['pop'],71002649,76,352.186,2010-10-25,0.455,0.623,0.0288,0.0739,0.000424,0.146,0.208,163.893,pop
Drake,Rich Flex,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73598547,91,239.359,2022-11-04,0.561,0.52,0.244,0.0503,1.86e-06,0.355,0.424,153.15,pop
Drake,Jimmy Cooks (feat. 21 Savage),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73598547,87,218.364,2022-06-17,0.529,0.673,0.175,0.000307,2.41e-06,0.093,0.366,165.921,pop
Drake,One Dance,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73598547,86,173.986,2016-05-06,0.792,0.625,0.0536,0.00776,0.0018,0.329,0.37,103.967,pop
Drake,WAIT FOR U (feat. Drake & Tems),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73598547,86,189.893,2022-04-29,0.463,0.642,0.34,0.314,0.0,0.0686,0.339,83.389,pop
Drake,God's Plan,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73598547,84,198.973,2018-06-29,0.754,0.449,0.109,0.0332,8.29e-05,0.552,0.357,77.169,pop
Drake,Spin Bout U,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73598547,83,214.588,2022-11-04,0.773,0.701,0.0512,0.01,0.0,0.163,0.203,129.963,pop
Drake,Passionfruit,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73598547,83,298.94,2017-03-18,0.809,0.463,0.0396,0.256,0.085,0.109,0.364,111.98,pop
