artist_name,track_name,genres,followers,popularity,duration,release_date,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Drake,Rich Flex,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,91,239.359,2022-11-04,0.561,0.52,0.244,0.0503,1.86e-06,0.355,0.424,153.15,hip hop
Drake,Jimmy Cooks (feat. 21 Savage),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,88,218.364,2022-06-17,0.529,0.673,0.175,0.000307,2.41e-06,0.093,0.366,165.921,hip hop
Drake,One Dance,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,86,173.986,2016-05-06,0.792,0.625,0.0536,0.00776,0.0018,0.329,0.37,103.967,hip hop
Drake,WAIT FOR U (feat. Drake & Tems),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,86,189.893,2022-04-29,0.463,0.642,0.34,0.314,0.0,0.0686,0.339,83.389,hip hop
Drake,God's Plan,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,85,198.973,2018-06-29,0.754,0.449,0.109,0.0332,8.29e-05,0.552,0.357,77.169,hip hop
Drake,Spin Bout U,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,83,214.588,2022-11-04,0.773,0.701,0.0512,0.01,0.0,0.163,0.203,129.963,hip hop
Drake,Passionfruit,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,83,298.94,2017-03-18,0.809,0.463,0.0396,0.256,0.085,0.109,0.364,111.98,hip hop
Drake,Fair Trade (with Travis Scott),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,82,291.175,2021-09-03,0.666,0.465,0.26,0.0503,0.0,0.215,0.292,167.937,hip hop
Drake,Knife Talk (with 21 Savage ft. Project Pat),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,82,242.965,2021-09-03,0.849,0.424,0.324,0.0635,0.0,0.0834,0.153,145.887,hip hop
Drake,Wants and Needs (feat. Lil Baby),"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",73637899,82,192.956,2021-03-05,0.578,0.449,0.286,0.0618,2.17e-06,0.119,0.1,136.006,hip hop
21 Savage,Creepin' (with The Weeknd & 21 Savage),"['atl hip hop', 'rap']",13238534,96,221.52,2022-12-02,0.715,0.62,0.0484,0.417,0.0,0.0822,0.172,97.95,hip hop
21 Savage,Rich Flex,"['atl hip hop', 'rap']",13238534,91,239.359,2022-11-04,0.561,0.52,0.244,0.0503,1.86e-06,0.355,0.424,153.15,hip hop
21 Savage,Jimmy Cooks (feat. 21 Savage),"['atl hip hop', 'rap']",13238534,88,218.364,2022-06-17,0.529,0.673,0.175,0.000307,2.41e-06,0.093,0.366,165.921,hip hop
21 Savage,Glock In My Lap,"['atl hip hop', 'rap']",13238534,86,193.591,2020-10-02,0.847,0.733,0.16,0.00574,1.04e-05,0.151,0.202,130.029,hip hop
21 Savage,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"['atl hip hop', 'rap']",13238534,84,207.306,2022-12-02,0.671,0.658,0.309,0.189,8.66e-05,0.147,0.257,87.933,hip hop
21 Savage,Spin Bout U,"['atl hip hop', 'rap']",13238534,83,214.588,2022-11-04,0.773,0.701,0.0512,0.01,0.0,0.163,0.203,129.963,hip hop
21 Savage,Knife Talk (with 21 Savage ft. Project Pat),"['atl hip hop', 'rap']",13238534,82,242.965,2021-09-03,0.849,0.424,0.324,0.0635,0.0,0.0834,0.153,145.887,hip hop
21 Savage,a lot,"['atl hip hop', 'rap']",13238534,81,288.624,2018-12-21,0.837,0.636,0.086,0.0395,0.00125,0.342,0.274,145.972,hip hop
21 Savage,Runnin,"['atl hip hop', 'rap']",13238534,82,195.906,2020-10-02,0.819,0.626,0.202,0.00748,0.101,0.167,0.415,143.01,hip hop
21 Savage,Pussy & Millions (feat. Travis Scott),"['atl hip hop', 'rap']",13238534,81,242.026,2022-11-04,0.749,0.63,0.116,0.0623,0.0,0.353,0.445,122.03,hip hop
Future,Superhero (Heroes & Villains) [with Future & Chris Brown],"['atl hip hop', 'rap', 'southern hip hop', 'trap']",13494441,90,182.666,2022-12-02,0.526,0.606,0.259,0.152,2.36e-06,0.194,0.492,116.622,hip hop
Future,WAIT FOR U (feat. Drake & Tems),"['atl hip hop', 'rap', 'southern hip hop', 'trap']",13494441,86,189.893,2022-04-29,0.463,0.642,0.34,0.314,0.0,0.0686,0.339,83.389,hip hop
Future,Too Many Nights (feat. Don Toliver & with Future),"['atl hip hop', 'rap', 'southern hip hop', 'trap']",13494441,85,199.92,2022-12-02,0.684,0.671,0.0464,0.189,2.37e-05,0.122,0.156,88.048,hip hop
Future,Private Landing (feat. Justin Bieber & Future),"['atl hip hop', 'rap', 'southern hip hop', 'trap']",13494441,84,238.253,2023-02-24,0.843,0.669,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,hip hop
Future,Mask Off,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",13494441,82,204.6,2017-06-30,0.833,0.434,0.431,0.0102,0.0219,0.165,0.281,150.062,hip hop
Future,Solo,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",13494441,81,265.996,2017-07-27,0.784,0.486,0.0475,0.0538,0.497,0.101,0.0894,110.964,hip hop
